A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"H-ADS,2","H-ADS,3",0.6811,False,0.4965,negligible
"H-ADS,2","HSI,2",0.9180,False,0.5009,negligible
"H-ADS,2","HSI,3",0.7078,False,0.4968,negligible
"H-ADS,2","I-ADS,2",0.7157,False,0.4969,negligible
"H-ADS,2","I-ADS,3",0.0001,True,0.4676,negligible
"H-ADS,2","W,2",0.0000,True,0.4230,small
"H-ADS,2","W,3",0.0000,True,0.4227,small
"H-ADS,2","Wp,2",0.0044,True,0.4760,negligible
"H-ADS,2","Wp,3",0.0003,True,0.4691,negligible
"H-ADS,3","HSI,2",0.6082,False,0.5043,negligible
"H-ADS,3","HSI,3",0.9604,False,0.5004,negligible
"H-ADS,3","I-ADS,2",0.9555,False,0.5005,negligible
"H-ADS,3","I-ADS,3",0.0004,True,0.4701,negligible
"H-ADS,3","W,2",0.0000,True,0.4250,small
"H-ADS,3","W,3",0.0000,True,0.4248,small
"H-ADS,3","Wp,2",0.0147,True,0.4794,negligible
"H-ADS,3","Wp,3",0.0011,True,0.4725,negligible
"HSI,2","HSI,3",0.6349,False,0.4960,negligible
"HSI,2","I-ADS,2",0.6415,False,0.4961,negligible
"HSI,2","I-ADS,3",0.0001,True,0.4667,negligible
"HSI,2","W,2",0.0000,True,0.4221,small
"HSI,2","W,3",0.0000,True,0.4217,small
"HSI,2","Wp,2",0.0031,True,0.4751,negligible
"HSI,2","Wp,3",0.0002,True,0.4682,negligible
"HSI,3","I-ADS,2",0.9878,False,0.5001,negligible
"HSI,3","I-ADS,3",0.0003,True,0.4698,negligible
"HSI,3","W,2",0.0000,True,0.4247,small
"HSI,3","W,3",0.0000,True,0.4246,small
"HSI,3","Wp,2",0.0131,True,0.4791,negligible
"HSI,3","Wp,3",0.0009,True,0.4721,negligible
"I-ADS,2","I-ADS,3",0.0003,True,0.4698,negligible
"I-ADS,2","W,2",0.0000,True,0.4250,small
"I-ADS,2","W,3",0.0000,True,0.4247,small
"I-ADS,2","Wp,2",0.0119,True,0.4788,negligible
"I-ADS,2","Wp,3",0.0008,True,0.4718,negligible
"I-ADS,3","W,2",0.0000,True,0.4553,negligible
"I-ADS,3","W,3",0.0000,True,0.4550,negligible
"I-ADS,3","Wp,2",0.2691,False,0.5093,negligible
"I-ADS,3","Wp,3",0.7540,False,0.5026,negligible
"W,2","W,3",0.9298,False,0.4993,negligible
"W,2","Wp,2",0.0000,True,0.5541,negligible
"W,2","Wp,3",0.0000,True,0.5477,negligible
"W,3","Wp,2",0.0000,True,0.5545,negligible
"W,3","Wp,3",0.0000,True,0.5481,negligible
"Wp,2","Wp,3",0.3966,False,0.4929,negligible
